task,val
training_fold_0_neg_mean_squared_error,-0.32895961484816094
validation_fold_0_neg_mean_squared_error,-0.38296999372729773
training_fold_0_r2,0.7891138448799804
validation_fold_0_r2,0.7393636650155545
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_1_neg_mean_squared_error,-0.3214951775370145
validation_fold_1_neg_mean_squared_error,-0.415851638763155
training_fold_1_r2,0.790588102327734
validation_fold_1_r2,0.7347855176377582
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_2_neg_mean_squared_error,-0.3196070431875724
validation_fold_2_neg_mean_squared_error,-0.42161270690577507
training_fold_2_r2,0.7913680381056912
validation_fold_2_r2,0.733341675816507
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_3_neg_mean_squared_error,-0.30728075248067516
validation_fold_3_neg_mean_squared_error,-0.410853176747077
training_fold_3_r2,0.7996250151930689
validation_fold_3_r2,0.7391091191161518
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_4_neg_mean_squared_error,-0.32438815988837383
validation_fold_4_neg_mean_squared_error,-0.41840595528491153
training_fold_4_r2,0.7904934069352363
validation_fold_4_r2,0.7239047933954346
n_filter,20.0
n_layer,3.0
n_epoch,400.0
cross_validation_pearson_corr,0.8579031521057902
test_set_pearson_corr,0.8764494490114934
